"НАЗВАНИЕ","ОТЗЫВ","ОЦЕНКА"
"CODA: Ребенок глухих родителей","Впервые о фильме CODA я услышала во время новостей о наградном сезоне, в которых фильм был явным фаворитом. Я почитала аннотацию и подумала, что фильм носит такое название из-за музыкальной темы. А потом я узнала о корректной расшифровке данного акронима  Ознакомившись с фильмом (и с некоторыми другими номинантами), у меня не осталось сомнений, что именно CODA должен получить награду за Лучший фильм. На прошедшей премии болела исключительно за него.

Семья Росси живет в Новой Англии и занимается рыболовным бизнесом. Практически вся семья является глухой, и только младшая дочь-подросток Руби - слышащая, и в основном она осуществляет коммуникацию семьи с остальным миром. Семья Росси очень любящая, заботливая, но у Руби есть талант, который ее семья не поймет - она любит музыку и очень хорошо поет. Новый учитель хора убеждает Руби попробовать поступить в престижную музыкальную академию, и теперь девочка должна выбрать - остаться и помогать своей семье или следовать за мечтой?

Я даже и не помню другого такого же фильма, где настолько полно, подробно и ярко были изображены глухие люди, даже глухая семья. Ведь мы если и знаем об этом, но никогда как следует не задумываемся о таких людях, как они живут, с каким трудностями они сталкиваются ежедневно. Если раньше и показывали глухих в кино, то это обычно были люди-одиночки, которых никто не мог (или не хотел) понимать. А здесь показан быт такой семьи - и это самые обычные люди, которые работают, причем в довольно непростой отрасли, которые каждый вечер собираются за обеденным столом и обсуждают новости и проблемы, которые растят и воспитывают детей, и при этом, это весьма привлекательные люди, которые живут полной жизнью. Даже забываешь, что у них ограниченные возможности из-за отсутствия слуха. 

Если отбросить основной посыл фильм, то в нем можно увидеть и другую тему - это тема взросления. Когда подросток, очень привязанный к своей семье и обычной жизни, вдруг стоит перед выбором - оставить все как есть или рискнуть и начать новую жизнь, но уже вдали от семьи, родного города и всего знакомого и близкого. С таким выбором сталкивается любой выпускник, потому эта тема настолько актуальна. Но здесь подключается еще другой момент, поскольку главная героиня это CODA, Child of Deaf Parents - дословно Ребенок глухих родителей. Тут не только рассказывается, как непросто быть единственным слышащим членом семьи, осознавать, насколько ты отличаешься от своих родных, и видеть, насколько они отличаются от всех остальных, но и понимать, что ты нужен своей семье, а у тебя другие мечты и стремления, причем твоя семья их не понимает (не из-за вредности и нежелания отпускать, а из-за физической невозможности). Поэтому этот выбор о дальнейшей взрослой жизни становится еще тяжелее для главной героини.

Главную роль здесь исполнила Эмилия Джонс, которую я знала по британскому кино и телевидению. Ее героиня Руби - девочка из глухой семьи, которая как может помогает своим родным, старается не обращать внимания на насмешки одноклассников, и поет от всего сердца. Обычно в подобных фильмах о взрослении подростки бунтуют и часто спорят с родителями о планах на свое будущее. Но здесь все обстоит совсем иначе - Руби очень любит своих родителей и брата, даже если порой ей неловко из-за их поведения, и даже если она мечтает о другой жизни, где не нужно вставать в три утра, ходить в одежде пропахшей рыбой и выполнять обязанности сурдопереводчика для семьи, Руби в первую очередь думает о том, как будет лучше для семьи. Но все же, видно, что ей хотелось бы совсем другого  Еще мне очень понравился момент, что хоть она и слышит, и говорит, но свои чувства во время пения она описывает именно на языке жестов, словно ей порой проще показать, чем объяснить словами. Ну и пела она просто чудесно!

Все семью Росси сыграли глухие актеры: Трой Коцур, получивший за роль Фрэнка Росси всевозможные награды, сыгравший роль отца семейства, бывалого рыбака со своей неповторимой философией жизни; Марли Мэтлин - Джеки Росси с очаровательной улыбкой и сияющими глазами, которые порой красноречивее любых слов, и которая боится, что не сможет найти общий язык со своей дочерью; Дэниэл Дюран - Лео Росси, старший брат, который разрывается между любовью и завистью к сестре, которая пользуется особым расположением родителей, но также он пытается дать Руби возможность выбрать свою жизнь, устроить все так, как хотелось бы ей. И очень классным получился персонаж Эухенио Дербеса - мистер Ви, учитель пения, который стремится помочь Руби поступить в музыкальную академию.

Фильм Шан Хейдер - на мой взгляд, полностью заслуживает всех хвалебных отзывов и наград, которых он был удостоен. CODA получилась удивительно светлой, доброй, проникновенной, по-настоящему семейной. А также напоминающий, как важно быть услышанным, и как важно иметь поддержку и любовь своей семьи.

10 из 10

Приятного просмотра!","👍"
"Иди и смотри","На самом деле фильм не драматичный. Он трагичный, безусловно, но не драматичный. То есть это авторское кино, арт-хаус  но точно не драма.

Ведь драма предусматривает проактивные действия героя. Действия, влияющие на сюжет. А здесь герой за весь фильм только канистру с бензином принёс  и то непонятно, почему именно он? Всё остальное случалось по стечению обстоятельств и герой на это только реагировал, хватался за голову и кричал. Такому «герою» трудно сопереживать, так как он ничего не способен изменить и внутренне никак не меняется. То есть, он хотел воевать с немцами в начале и в конце фильма; считал фашистов врагами в начале и в конце фильма  ну и так далее.

Фильм скорее манипулирует чувствами зрителя, чем пытается донести какую-то конкретную мысль. Если не считать мысли: «не любить и рожать нужно, а воевать», которую герой с издёвкой выражает изнасилованной девушке.

5 из 10","👎"
"Дом Gucci","- Это может стать большой ошибкой.
- Это не ошибка. Это выбор.

Для меня этот фильм прекрасен во всём, поэтому я с большим удовольствием посмотрел этот его ещё раз. 158 минут пролетают в один миг. Ридли Скотт снял именно то кино, от которого кайфуешь, восхищаешься игрой известных актёров, смотришь на людей, которые своими действиями губят Великую Империю.

До просмотра я мало, что знал об истории Gucci, кроме того, что это известный бренд мне мало было известно. Насколько было правдоподобно, конечно, судить тем, кто знаком с историей, я мягко говоря был удивлён, как очень богатые люди не умеют управлять тем, что приносит не только деньги, но и удовольствие.

Если брать художественную составляющую, то кино великолепное. Атмосфера того времени настолько шикарная, что ты в неё погружаешься достаточно быстро, особенно бы отметил музыкальное сопровождение, оно подчёркивает стиль того времени, слушаешь и наслаждаешься.

Это, наверное, самый Итальянский фильм, что я видел. Не скажу, что я большой фанат Италии, но этот фильм пропитан любовью к Италии, Ридли проделал большую работу, я давно так не кайфовал, как от режиссуры старичка Ридли Скотта.

При всём уважении ко всем кто снимался, но лично для меня этот фильм сделала Леди Гага от начала и до конца. Насколько она божественна в этой роли. Если в картине Звезда Родилась я восхищался её вокальными данными, то тут настоящая актёрская игра высокого уровня, потрясающее воплощение, её и любишь и ненавидишь одновременно. Для меня это кино больше история о Патриции Реджани, чем о Gucci. Настолько она поражает своей ролью, своим характером, своей волей, силой. Это образ непростой, но очень сильной женщины, которая всегда верила в себя и в свой потенциал.

Очень хотел, чтобы она получила второй Оскар,, но, увы, к сожалению. Героиня достаточно жестокая, знающая себе цену и идущая напролом до самого конца.

Конечно стоит отметить Джареда Лето, невероятный талант, что он снова и доказал. Сыграть так красочно Паоло- это надо уметь, от него прежнего нет ничего, как внешне, так и в плане актёрской игры. Просто Браво!!!

Адам Драйвер, в роли Маурицио оставил очень приятное впечатление, его герой менялся на протяжении всего фильма, мне он был близок в первой половине фильма.

Аль Пачино, как всегда был очень хорош, его эмоции ближе к концу очень зашли.

Джереми Айронс, получил не так уж много времени, во многом его герой был прав.

Отличное кино от отличного режиссёра с потрясающей атмосферой, с отличными актёрскими работами, но Леди Гага one love.

9 из 10

P.S. - Синьора Реджани. Синьора Реджани. 
 - Называйте меня Синьора Гуччи.","👍"
"Кунг-фу Панда 3","История По подошла к логическому финалу, но подошла так натянуто, что в происходящее веришь ещё меньше, чем в то, что показали во второй части. Сохранив кунг-фу в одном лишь названии, создатели окончательно ушли в непонятное фэнтези, где по мановению руки сценариста творится такая магия, что Гэндальфу и во сне не снилось.

Те вопросы и темы, которые проросли ещё в первой части, достигают здесь завершения. По идее, всё это должно сопровождаться взрослением франшизы и отказом от инфантильности, но происходит ровно обратное: нелепых приколов становится только больше, и кажется никто из персонажей кроме мастера Шифу не понимает, насколько великая опасность угрожает теперь Китаю. Новый злодей, сила которого превосходит и Тай-Лунга, и Шеня, выглядит как бог из машины, каким являлся По в предыдущих частях. Впрочем, и главный герой не отстаёт от врага, получая такие способности, каких  не было ни у кого. По крайней мере, в западном кинематографе такой счастливчик появляется впервые.

Такое везение, равно как и сценарные ступеньки, слишком похожи на первую часть, что ликвидирует недостатки сиквела в виде чрезмерной мрачности, но и ничего свежего взамен не предлагает. Если не обращать внимания на то, что в окружении По теперь преобладают представители других видов, то перед нами всё та же история. Изменений в лучшую сторону не наблюдается. Из-за несерьёзности происходящего заранее предугадываются ключевые моменты и кто станет победителем, а культурной связи с Китаем уже нет и в помине. Создатели просто балуются, мимолётно показывая нам других мастеров кунг-фу, нисколько не пытаясь их раскрывать. Ящерица, курица, медведь - это всего-лишь животные. Антропоморфные, но животные.

Главный вопрос, не дающий покоя - что за метаморфоза произошла с кунг-фу? От реально существующего боевого искусства теперь и следа нет, и вместо обычных приёмов персонажи стреляют и бьют друг друга чем-то магическим. Разговоры про Инь и Ян изо всех сил напоминают зрителям о китайском сеттинге, но на словах всё и заканчивается. Не похоже это на Китай, в фильмах которого победа над злом преподносится не настолько пафосно, о более убедительно.

Как бы там ни было, а перед нами финал, не требующий дальнейших продолжений. Эта франшиза началась на среднем уровне и в итоге к нему же и вернулась, подарив нам смешного По, мудрого Угвэя, нервного Шифу и боевую Неистовую пятёрку. То, что «Кунг-фу панда» лишь слегка раскрывает культуру Китая, говорит о том, что между Западом и Востоком ещё не все мосты достроены до конца.

5 из 10","-"
"Крик","Спустя 25 лет после жестоких убийств, потрясших тихий городок Вудсборо, и выхода серии культовых слэшеров на основе тех событий старшеклассница Тара подвергается нападению, такому же, как и в фильме. Узнав о случившемся, в Вудсборо возвращается её старшая сестра Сэм и просит помощи у бывшего шерифа городка Дьюи Райли в поимке нового убийцы, скрывающегося за маской Призрачного лица.

Фильм «Крик» в пятый раз(!) возвращает на экраны маньяка под маской Призрачного Лица, но кто окажется под ней на этот раз главным героям продолжения ещё предстоит узнать. В новом «Крике» 2022 года будут новые герои, однако главная жертва серии Сидни Прэскотт возвращается в родной город, где снова разворачивается серия убийств молодёжи. Дьюи, как и прежде, берётся расследовать дело, да и репортёрша Гейл Уэзерс тут как тут. Всем вместе им предстоит раскрыть серию преступлений и остановить их, пока жертвой не стал кто-то из них.

Будем честны, никто не ждал от этой части ничего такого. Скептицизм подкреплялся целой россыпью неоднозначных возрождений других культовых франшиз (здравствуй, «Хэллоуин»), оставшихся не у дел в эру социального хоррора Джордана Пила, Ари Астера и студии A24. Целых 11 лет прошло с выхода последнего «Крика 4». И казалось, уже точка поставлена, но всегда найдётся смельчак, который захочет вдохнуть «что-то новое» в уже культовое, другое дело, получится или нет. И вроде бы получилось  но всегда есть масса НО!

Благодаря казалось бы внятной экспозиции, молодежь отнюдь не меркнет и не теряется на фоне подуставших, но всё ещё способных дать бой ветеранов этой истории. Естественно, велик соблазн поворчать на притянутую за уши связь старого поколения героев с новыми, но главное, чтоб всё это было «вкусно и умело» подано, масса мелких деталей выбивается из сюжетной канвы, много предсказуемо и дико очевидно. Но поверьте, это отнюдь не мешает просмотру, просто ждёшь, подтвердится твоя версия или нет  и вот с каждой сценой и -1 жизнь, понимаешь что подвох должен быть. Финал отдал дань 1 части и аргументированно устроил долгожданный экскурс по классике. Мясорубка вышла неплохая, чего уж тут.

Прошло 25 лет с тех пор, как сценарист Кевин Уильямсон и режиссёр Уэс Крэйвен устроили со зрителем синефильскую новаторскую игру, сотворив в жанре слэшера революцию. «Крик» - традиционно умное исследование жанра и того, как он изменился с 90-х годов, как создался культ. Убийства непривычно брутальные, но остроумные диалоги бьют максимально в цель не хуже любого ножа! Крэйвеновское наследие сохранено и хоть за это спасибо. С большой натяжечкой, но ставлю 7-ку, за мясистость, интригу, и конечно крылатые фразочки Гейл и Сидни. «Оригинал - всегда лучше!»

7 из 10

Кнышов Андрей","👍"
"Sonny Boy","Описание аниме вводит в заблуждение. Прочитав его, я подумал, что это будет очередной исекая про школьников с суперспособностями в другом мире, возможно с королевской битвой. Это не так. Начинается вроде стандартно персонажи начитают делится на группы, между ними возникают конфликты, а затем аниме превращается  превращается в  абстрактную экзистенциальную притчу?! Более точного термина я придумать не смог. 

Сериал в первую очередь про настроение и атмосферу если не получится ими проникнутся, то аниме скорее всего вас не зацепит и не понравится. Обычно советуют посмотреть первые две серии что бы понять стоит смотреть дальше или нет. Этот же сериал очень сильно меняется по ходу своего повествования, поэтому я бы рекомендовал досмотреть серии до 6-7 и если не зацепит, то это не ваше. В сюжет вставлено и переплетено множество смыслов, вопросов, тем. Есть несколько отдельных сюжетов с эпизодическими персонажами, оторванными от основной истории. И ни на один вопрос вы не получите точного ответа, ни на одну из поднятых в произведении тем вы не получите конкретного решения, думать над всем придется вам.

«Сонни бой» - это шедевр анимации. Кино, книга, комикс или любая другая форма искусства не сможет передать эту историю. На это способна только анимация, в этом произведении нет четких границ и правил как нет их и в анимации.","👍"
"Мертвец","Около месяца назад я впустил в свой разум этот мрачный околооккультный вестерн. Но оценку я попробую дать ему лишь сейчас.

И так, через весь фильм тянется долгая, волевая и всеобъемлющая смерть. Лёгкая и быстрая смерть бледнолицых, разумеющаяся и холодная смерть оленёнка, вероятная и символичная смерть Уильяма Блейка. Центральная мысль картины - смерть тела неразрывно связана с освобождением духа. Всё внутреннее, настоящее вылетает из под раздавленной черепушки и сочится из прострелянной груди. Пренебрегающий плотью, но становящийся внутренне-прекрасным Уильям убивает в себе всю гниль и слабость. Он убивает суетливость, страх, озабоченность искусственными ценностями и внешними проявлениями чего-бы то ни было. Стреляя в людей, он лишает их жизни важности, продолжая путь, он обретает гармонию и спокойствие. Важно обратить внимание на то, что Блейк всегда выглядит безупречно и элегантно. Это обозначает позицию режиссёра относительно смысла и красоты. Скорее всего, ценность имеет то, что ведёт вперёд, заставляя не останавливаться, не дрогнуть, не усомниться. Во главу угла поставлено вечное развитие и постижение. Но не всё так просто, ведь главный герой крайне пассивен и «шевелиться» начинает лишь под наставничеством и помощью Никто.

И один из самых спорных моментов киноленты - смерть Уильяма. Причём, в физическом, а не метафорическом смысле. Когда она наступила? Эта открытый вопрос, на который каждому придётся отвечать самому. Существует много версий на этот счет.

Таким образом, «Мертвец» - психоделическая притча об осмыслении и понимании. Даже цвета фильма - чёрный, белый и серый призваны отдалить нас от реального мира и его условностей. А отчуждённое выражение лица Джонни Деппа словно призывает нас разрушить норму и логику, открывая разум навстречу Запредельному. Вобщем, кто сказал, что стакан наполовину полон или пуст? Вероятно, стакан пробит, и из него ползёт всё невыраженное и подавляемое, прямо сейчас превращая комнату в общину индейцев или знойный лес 

8 из 10","👍"
"Джон Уик","Всегда любопытно знакомиться с фильмами, о которых часто говорят. А если лента является еще и режиссерским дебютом, то это любопытно вдвойне. Про «Джона Уика» вспоминали так часто, что пропустить картину было бы преступлением. Пару дней назад я все-таки нашел на нее время. 

Сюжет. Джон Уик когда-то был одним из лучших наемных убийц, но он завязал со своим криминальным прошлым. Недавно Джон потерял жену в результате тяжелой болезни. Она успела подарить мужу предсмертный подарок: милого щенка Дейзи. Однажды бандиты врываются в дом мужчины, избивают его, убивают щенка и угоняют «Мустанг» 1969-ого года. Теперь Уик готов на все, чтобы отомстить обидчикам 

Простенькая сюжетная линия старается давить на болевые точки зрителя: человека в глубокой депрессии лишили последней надежды и радости в жизни. Теперь протагонисту нечего терять, и он вспоминает свое темное прошлое. Сама по себе идея не новая, да и протагонистом Джона назвать тяжело, учитывая его жестокие злодеяния, совершенные когда-то давно. При этом не могу не отметить, что авторам удается сделать практически невозможное: даже такого главного «героя» временами жалеешь. Печально, что сюжетных дыр здесь довольно много. Рассмотрим примеры. Джон может быть настоящим «терминатором» и суперточным стрелком до определенного сценарного момента, где он приблизится к цели, обязательно несколько раз промажет, а затем столкнется с приблизительно равным противником (прям аналог босса в играх) и получит хоть какие-то увечья. Несколько раз перестрелки будут проходить в общественных местах и даже на открытом пространстве, но полиции в Нью-Йорке как будто бы и вовсе не существует. Если же центральный персонаж все-таки попадется в руки убийц, то здесь обязательно начнется затягивание времени через ненужные диалоги, чтобы дать киллеру хотя бы малейший шанс. 

Атмосфера. Достойная операторская работа предлагает зрителю оценить наиболее «сочные» ракурсы во время эффектных сражений и красивую панораму города через плавный полет камеры над ним. Среди актеров заметно выделяется Киану Ривз (Джон Уик). Интересно было наблюдать за его перевоплощением в жестокого киллера. Уиллем Дефо (Маркус) смотрелся блекло на фоне Ривза, но и роль у него была попроще. Остальным тут особо нечего было играть. Персонажи прописаны минимально, чтобы сделать основной акцент на экшене.

Спецэффекты. В картине практически нет взрывов, зато есть крутые драки и яркие перестрелки. Реализовано все это на достаточно высоком уровне.

Музыка. Хорошее музыкальное сопровождение подобрано грамотно. Особенно в начале ленты. Особенно такие заводные, как, например, трек «Assassins».

Итог. Визуально качественный боевичок, от которого можно получить удовольствие, если закрыть глаза на очевидные сюжетные ляпы и небольшую клюковку в виде злобных плохих русских. Кино с достоинством выполняет свою основную развлекательную функцию, демонстрируя лихой аттракцион легкого безумия.

7 из 10

(68%), «Люди не меняются, меняются времена »","👍"
"Власть пса","«Власть пса». 

Выбрала «смотреть», потому что - Камбербэтч. У него такие разные герои! Помнится и скрученый в тугую пружину офицер из «1917»(он успел вызвать страх, уважение и сожаление), простите, слегка странный(как и положено) «Шерлок» (мое мимолетное сочувствие всем родителям, имеющим столь нестандартных детей), и мистер Уэйн, чьих кошечек я, оказывается, так любила в детстве 

 (""Кошачьи миры Луиса Уэйна»), конечно, «Патрик Мэлроуз»(и моя надежда, что он не сломился).

Бенедикт Камбербэтч в роли Фила снова оправдал море моих ожиданий: сплошной эпатаж и угроза, откровенный хам, грубиян с постоянными выпадами в агрессию, рядом с ним неуютно и опасно. Почему? Он боится, он когда-то пал, теперь он живет в мире, где его окружают невидимые нам угрозы, вот в чем дело. А вообще-то он - преданный брат, младший по обоюдному согласию партнер по бизнесу, похоже, одаренный человек. Он неплохой музыкант, это видно, понимает толк в красоте. В общем, нестандартная, противоречивая, живая фигура - личность. Все как на ладони. Но мысль, что он где-то там, далеко - вызывает облегчение. Подальше от таких, честно.

 Его брат, Джордж (""Толстяк» по бесцеремонному определению Фила) - кажется противоположностью брата: неплохие манеры, вежливый, мягкий в общении, стесняется своих незнаний, стремится чего-то достичь. И у него получается! Как?! Вот это один из занятных вопросов по ходу фильма, но не успеваешь, за выпадами Фила, это понять. Ясно только, что братишка непрост: Фил его слушается, работники - побаиваются. Очень тонкая работа у актера Джесси Племонса, братец тоже живой, как и Фил, только очень уж  ускользающий.

 А вот и вершинка любовного несложившегося(?) треугольника: Роуз(Кирстен Данст). Жизнь ее испытала на прочность не раз: не поленитесь, отследите ее историю. Меня больше всего поразило то, что она сумела воспитать сына в атмосфере ее прежней любви. У нее очень близкие отношения с ее мальчиком, с ним она делится проблемами, возникшими в новых отношениях. Заметим, с сыном, а не с мужем. У мужа на глазах она спивается, и возникает у меня нехорошее ощущение, что Джордж имеет-таки отношение к тому, что дома что-то «не так». Недаром дом такой темный, земляной какой-то, чистый до безжизненности. А за стенами - солнце, свет, воздух и колышущиеся в зное травы, зелень и вода - жизнь.

 Но и Роуз - не только жертва: ей бы самой свои проблемы решать, а не сваливать их на сына. Но: горсть золота от свекрови, статус и шубка, маленькие радости - женщина мирится с тем, что есть.

 Но не сын. Он молодой, но уже мужчина, он совершает поступки, не задумываясь о той цене, которую платит. Он взрослеет и звереет: от спасаемой бумажной розы к каким-то невообразимым шагам, к «морковку ему не надо», к лассо, которое он с предельной осторожностью затолкнет под кровать. Кто следующий возьмет это лассо? Тут я начинаю думать, что это не то что детектив - триллер, ужастик. Такой нежный мальчик!

 И в этом - мы все. Слушайте, ни одного положительного героя! Просто жизнь, как она есть.

И» Оскар» фильм режиссера Джейн Кэмпион получил за предельно честный взгляд в зеркало для всего человечества. Такие мы и есть.

Аминь. 

Фильм достоин неоднократного просмотра, удовольствия будет убывать, а ума - добавляться.

 8 из 10

Он действительно перекликается с «Горбатой горой», с «Назови меня своим именем», и похожими на них.

 Но: пожестче, почестнее.","👍"
"Дневники вампира","Насколько часто вы пересматриваете сериалы? Я нечасто, ведь жизнь коротка, а еще столько нужно успеть посмотреть. И взявшись за повторный просмотр «Дневников» спустя пять лет, кто бы мог подумать, что чувства он вызовет совсем не те, что были, пока я была в клубе «до 30», а еще более глубокие, искренние и эмоциональные! Сериал вытряхнул всю душу наизнанку, а ближе к концу 6-го сезона выпотрошил и остальное. 

Начальные эпизоды кажутся немного книжными, но чем дальше в лес. Каждое телодвижение Стефана, каждая шуточка Деймона, каждая дружеская беседа или трагическое событие отдаётся ударом в сердце!

И еще более интересно было сызнова наблюдать за всеми персонажами, когда ты уже, смутно, но знаешь, что с ними станется к финалу.

Начну с того, что моим фаворитом всегда был и остаётся Стефан супротив Деймона. Я всегда любила хороших парней, и мне трудно понять, почему подавляющее большинство выбирало Деймона, который и стал то более привлекательным, найдя лучшего друга в лице Бони, которая и смогла вытянуть всю его человечность наружу до последней капли, хоть этот подвиг и приписывали Елене. Любовь Деймона к Елене всегда была лишь проявлением эгоизма, его не останавливали ни брат, ни её родные. Самое главное - заполучить её любыми способами, и это всё не есть нормально. Стефан же всегда и непреклонно следовал своему принципу главного добродетеля, и человечность отключал только в случае угрозы опасности его близким! Ему не требовалась путеводная звезда на пути к добру, он сам делал окружающих лучшими версиями себя. 

Возьмём Кэролайн, которая является моим главным женским фаворитом. Именно благодаря начальным потугам Стефана она стала самым идеальным вампиром всего сказа! А что уж говорить по пэйринг Стэролайн! Это лучшее, что было за все эпизоды! И еще отраднее было наблюдать с первых серий зарождение их дружбы, любви и уважения друг к другу. Тогда и мысли о их будущем не закрадывалось, ибо мы беспрекословно верили в любовь Стефана к Елене.

В сериале очень много сильных драматичных сцен, моментов и поворотов. В продуманности сюжета мне тоже некого упрекнуть, тем не менее  вампиры так кичатся своим превосходством, своим бессмертием и силой, а способов их убить почти столько же, сколько и для обычного человека. Да и будучи вампиром у тебя меньше шансов выжить, как показывает статистика восьми сезонов.

Не хочу придираться и детализировать, но раз нам преподносят целую вампирскую вселенную со своими сводами и законами, хотелось бы побольше узнать о таких мелочах: почему им нужен сон, почему они всё-же устают, и отчего же пьянеют, ведь их организм должен такие погрешности регенерировать и восполнять за считанные минуты  при условии, что они хорошо питаются!

Всю дорогу меня неимоверно раздражал Мэтт Донован, который своей ненавистью к вампирам и нечисти вообще не видел дальше своего носа. «Вампиры убивают людей!» - кричал он под каждым забором. Чувак, люди тоже убивают людей, представляешь!

Семья - это святое! Так ли это? Все самые низкие и отвратительные поступки героев оправдываются защитой своих близких, которые не преминут в очередной раз предать.

Нотку сожаления выражу по поводу саунда! Что за потрясную музыку мы «потеряли» в тех временах! Треки группы Plumb идеально подходят для такого мрачного вампирского видеоряда!

Магия в «Дневниках» также играет огромную роль, но здесь нельзя по щелчку пальца наколдовать себе мороженку или очутиться в Париже. Ведьмы здесь более серьезные и глубокие, их магия требует огромных знаний и опыта, и не всегда есть лазейки обойти своего врага. Всё это добавляет хорошей реалистичности происходящего.

Начиная смотреть сериал о подростках в мистическом городке, к финалу мы приходим к пониманию того, что смотрели взрослую сильную трагедию. Трагедию жизни и смерти. Дружбы и любви.

10 из 10","👍"
